draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
8,countdown,player_00042,occasional_player,0.2305105,6.639744186,1.0,0.2305105,50,,0.022258325,0.020032493,8.751856537,37.967279308,-0.050571296,lost,-0.2305105,0.0
8,countdown,player_00030,occasional_player,1.857442551,6.870254686,1.0,1.857442551,50,,0.179356519,0.161420867,7.206271088,3.87967374,-0.39437004,lost,-1.857442551,0.0
8,countdown,player_00043,occasional_player,0.370668608,8.727697237,1.0,0.370668608,50,,0.035792133,0.03221292,8.618706334,23.251783799,-0.081094594,lost,-0.370668608,0.0
9,bootstrap,player_00006,persistent_player,0.767752002,0,1.5,1.151628003,0,,0.063599722,0.05723975,15.559046632,20.265719388,0.166789864,lost,-0.767752002,0.0
9,bootstrap,player_00027,occasional_player,0.463472748,0.767752002,1.426277211,0.661040618,10,,0.03650658,0.032855922,15.848111924,34.194269225,0.072459401,lost,-0.463472748,0.0
9,bootstrap,player_00044,occasional_player,0.316034499,1.23122475,1.3817726,0.436687811,20,,0.024116488,0.02170484,15.98817826,50.589977711,0.037845822,lost,-0.316034499,0.0
9,bootstrap,player_00003,persistent_player,0.511718098,1.547259249,1.351425633,0.691548955,30,,0.038191431,0.034372288,15.802278841,30.880828532,0.049031299,lost,-0.511718098,0.0
9,bootstrap,player_00015,persistent_player,0.217517485,2.058977347,1.3022883,0.283270476,40,,0.015643874,0.014079487,16.081769424,73.933226212,0.011968108,lost,-0.217517485,0.0
9,bootstrap,player_00033,occasional_player,0.427200584,2.276494832,1.281401353,0.547415406,50,,0.030231522,0.02720837,15.882570479,37.17825086,0.016561702,lost,-0.427200584,0.0
9,bootstrap,player_00045,occasional_player,1.074705421,2.703695416,1.240379749,1.33304284,60,,0.073618524,0.066256672,15.267440884,14.206163462,0.008070801,lost,-1.074705421,0.0
9,countdown,player_00046,occasional_player,0.205588529,3.778400837,1.0,0.205588529,60,,0.011353817,0.010218435,16.093101932,78.278209441,-0.039041419,lost,-0.205588529,0.0
9,countdown,player_00047,occasional_player,0.23090008,3.983989366,1.0,0.23090008,60,,0.012751671,0.011476503,16.069055958,69.593115595,-0.043833578,lost,-0.23090008,0.0
9,countdown,player_00048,occasional_player,0.084258907,4.214889446,1.0,0.084258907,60,,0.004653276,0.004187948,16.208365073,192.363818256,-0.016026237,lost,-0.084258907,0.0
9,countdown,player_00049,player_whale,12.482056108,4.299148353,1.0,12.482056108,60,,0.689333096,0.620399786,4.430457732,0.354946148,-1.989536139,won,4.430457732,0.233181986
10,bootstrap,player_00034,occasional_player,0.998339507,0,1.5,1.49750926,0,,0.324635448,0.292171903,2.467979288,2.472084166,0.014421453,won,2.467979288,0.129893647
10,bootstrap,player_00004,persistent_player,0.591265936,0.998339507,1.403959253,0.830113282,10,,0.179954946,0.161959451,2.85469918,4.828113724,-0.033159318,lost,-0.591265936,0.0
10,bootstrap,player_00017,persistent_player,0.373001735,1.589605443,1.347079181,0.502462872,20,,0.10892571,0.098033139,3.062050171,8.209211604,-0.036252813,lost,-0.373001735,0.0
10,bootstrap,player_00050,occasional_player,0.171431353,1.962607178,1.311196232,0.224780144,30,,0.048728649,0.043855784,3.253542034,18.978687254,-0.02122646,lost,-0.171431353,0.0
